Title,Director,Popularity
STRING,CAT,INT
Tie Me Up! Tie Me Down!,"Almodóvar, Pedro",68
High Heels,"Almodóvar, Pedro",68
"Dead Zone, The","Cronenberg, David",79
Cuba,"Lester, Richard",6
Days of Heaven,"Malick, Terrence",14
Octopussy,"Glen, John",68
Target Eagle,"Loma, José Antonio de la",14
"American Angels: Baptism of Blood, The","Sebastian, Beverly",28
Subway,"Besson, Luc",6
Camille Claudel,"Nuytten, Bruno",32
Fanny and Alexander,"Bergman, Ingmar",81
Tragedy of a Ridiculous Man,"Bertolucci, Bernardo",17
A Man & a Woman,"Lelouch, Claude",46
A Man & a Woman: Twenty Years Later,"Lelouch, Claude",49
Un Hombre y una Mujer,"Lelouch, Claude",6
"Official Story, The","Puenzo, Luiz",39
"Lindbergh Kidnapping Case, The","Kulik, Buzz",51
Blackmail,"Hitchcock, Alfred",2
Donovan's Reef,"Ford, John",62
Tucker: The Man & His Dream,"Coppola, Francis Ford",68
Scrooged,"Donner, Richard",15
Raiders of the Lost Ark,"Spielberg, Steven",8
"Running Man, The","Glaser, Paul Michael",31
Predator 2,"Hopkins, Stephen",79
Colors,"Hopper, Dennis",23
Zandalee,"Pillsbury, Sam",80
Miles from Home,"Sinise, Gary",53
Happy Birthday to Me,"Thompson, J. Lee",88
Final Notice,"Stern, Steven Hilliard",88
Quintet,"Altman, Robert",19
"Devil's Eye, The","Bergman, Ingmar",20
Wild Strawberries,"Bergman, Ingmar",42
"Seventh Seal, The","Bergman, Ingmar",62
Germicide,,36
Dreams,"Bergman, Ingmar",14
"Naked Night, The","Bergman, Ingmar",38
Through a Glass Darkly,"Bergman, Ingmar",64
Cries & Whispers,"Bergman, Ingmar",18
"Barbarian & the Geisha, The","Huston, John",52
Casino Royale,"Hughes, Ken",11
Dr. No,"Young, Terence",7
Elephant Walk,,11
Ten,"Edwards, Blake",60
"Man Who Loved Women, The","Edwards, Blake",67
Hawaii,"Hill, George Roy",8
Torn Curtain,"Hitchcock, Alfred",35
Duet for One,"Konchalovsky, Andrei",82
"Sound of Music, The","Wise, Robert",59
Gonzo Presents Muppet Weird Stuff,,88
Tartuffe,"Depardieu, Gérard",67
A New Life,"Alda, Alan",53
Magic,"Attenborough, Richard",85
Tommy,"Russell, Ken",5
"Big Fix, The","Kagan, Jeremy Paul",19
Alan & Naomi,"Vanwagenen, Sterling",3
Fatal Attraction,"Lyne, Adrian",61
Patriot Games,"Noyce, Phillip",28
"Woman Next Door, The","Truffaut, François",82
Hunting,"Howson, Frank",68
Bataan,,68
"Siegfried, The Nibelungenlied","Lang, Fritz",79
"Henry, Portrait of a Serial Killer",,69
"Big Blue, The","Besson, Luc",7
Flight of the Intruder,"Milius, John",51
Nobody's Fool,"Purcell, Evelyn",52
After Hours,"Scorsese, Martin",81
Desperately Seeking Susan,"Seidelman, Susan",41
A New Leaf,"May, Elaine",83
Killers of Kilimanjaro,"Thorpe, Richard",11
Don Juan,"Crosland, Alan",55
Babette's Feast,"Axel, Gabriel",79
"Vincent, Francois, Paul & the Others",,20
Thunderball,"Young, Terrence",8
Lodger (Story of the London Fog),"Hitchcock, Alfred",76
Appointment with Death,"Donaggio, Michael Winner",75
Murder on the Orient Express,"Lumet, Sidney",8
Blood Alley,"Wellman, William",15
"Spy Who Loved Me, The","Gilbert, Lewis",27
Storm,"Winning, David",61
Bloodbath,,37
Miami Cops,"Bradley, Al",40
"Island of Dr. Moreau, The","Frankenheimer, John",39
Eighty-Four Charing Cross Road,"Jones, David",9
"Elephant Man, The","Lynch, David",3
Dr Alien,"DeCoteau, David",70
Creepshow,"Romero, George A.",70
Sammy & Rosie Get Laid,"Frears, Stephen",6
"Goalie's Anxiety at the Penalty Kick, The","Wenders, Wim",62
Mademoiselle Striptease,"Allegret, Marc",25
"Women, The","Aurel, Jean",66
That Naughty Girl,"Boisrond, Michel",37
Voulez-Vous Danser Avec Moi?,"Boisrond, Michel",16
"A Coeur Joie, (Head Over Heels)","Bourguignon, Serge",54
Shalako,"Dmytryk, Edward",0
Contempt,"Godard, Jean-Luc",81
Dear Brigitte,"Koster, Henry",71
A Very Private Affair,"Malle, Louis",30
"Ravishing Idiot, The","Molinaro, Edouard",34
"Bride Is Much Too Beautiful, The","Surin, Fred",70
Doctor at Sea,"Thomas, Ralph",83
"Le Repos Du Guerrier, (Warrior's Rest)","Vadim, Roger",8
And God Created Woman,"Vadim, Roger",29
Ms. Don Juan,"Vadim, Roger",39
Siesta,"Lambert, Mary",48
Rich & Strange,"Hitchcock, Alfred",57
Lionheart,"Schaffner, Franklin J.",9
E. T. The Extra-Terrestrial,"Spielberg, Steven",8
Cool World,"Bakshi, Ralph",44
Nadine,"Benton, Robert",47
Batman,"Burton, Tim",14
Blind Date,"Edwards, Blake",7
Mother Lode,"Heston, Charlton",40
Final Analysis,"Joanou, Phil",50
Never Say Never Again,"Kershner, Irvin",8
Nine & a Half Weeks,"Lyne, Adrian",7
Killjoy,"Moxey, John Llewellyn",71
No Mercy,"Pearce, Richard",11
"Marrying Man, The","Rees, Jerry",84
Misery,"Reiner, Rob",48
Crisis,"Bergman, Ingmar",66
Samson & Delilah,"Philips, Lee",36
Act of Piracy,,74
Split Decisions,"Drury, David",52
Vampire's Kiss,,49
Nightmare at Noon,"Mastorakis, Nico",0
Presumed Innocent,"Pakula, Alan J.",69
Reap the Wild Wind,"DeMille, Cecil B.",59
Pocket Money,"Rosenberg, Stuart",55
Mary White,"Taylor, Jud",2
"Catch a Rising Star, Tenth Anniversary",,18
Guilty by Suspicion,"Winkler, Irwin",88
Secret Beyond the Door,"Lang, Fritz",31
Scarlet Street,"Lang, Fritz",80
Daffy Duck's Quackbusters,"Ford, Greg",68
Rowlf's Rhapsodies with the Muppets,,79
Gandhi,"Attenborough, Richard",7
"Wind & the Lion, The","Milius, John",2
Carnal Knowledge,"Nichols, Mike",10
Getting Straight,"Rush, Richard",83
"Scarlet Letter, The","Wenders, Wim",55
"Count of Old Town, The","Adolphson, Edvin",72
Autumn Sonata,"Bergman, Ingmar",49
Gaslight,"Cukor, George",25
Indiscreet,"Donen, Stanley",1
Walpurgis Night,"Edgren, Gustaf",32
Joan of Arc,"Fleming, Victor",7
A Woman Called Golda,"Gibson, Alan",15
A Walk in the Spring Rain,"Green, Guy",2
Under Capricorn,"Hitchcock, Alfred",74
Notorious,"Hitchcock, Alfred",42
June Night,"Lindberg, Per",14
Goodbye Again,"Litvak, Anatole",6
Anastasia,"Litvak, Anatole",24
"Bells of St. Mary's, The","McCarey, Leo",31
Intermezzo,"Molander, Gustaf",32
A Woman's Face,"Molander, Gustaf",49
Swedenhielms,"Molander, Gustaf",88
Only One Night,"Molander, Gustav",26
Dollar,"Molander, Gustav",19
Elena & Her Men,"Renoir, Jean",33
Europa Fifty-One,"Rossellini, Roberto",34
Voyage in Italy,"Rossellini, Roberto",57
Fear,"Rossellini, Roberto",69
Stromboli,"Rossellini, Roberto",69
Cactus Flower,"Saks, Gene",67
Hideaways,,16
Twenty Four Hours in a Woman's Life,,16
Programmed to Kill,"Holzman, Allan",71
Conan the Barbarian,"Milius, John",45
Raw Nerve,"Prior, David A.",88
Think Dirty,"Clark, Jim",31
King of Comedy,"Scorsese, Martin",84
"Best of the Big Laff Off, The",,20
Amadeus,"Forman, Milos",6
White Lightning,"Sargent, Joseph",54
"Unbearable Lightness of Being, The","Kaufman, Philip",5
"Life & Times of Judge Roy Bean, The","Huston, John",65
Airport,"Seaton, George",0
Day for Night,"Truffaut, François",10
Secrets of Women,"Bergman, Ingmar",66
Burnt Offerings,"Curtis, Dan",35
Easy Rider,"Hopper, Dennis",36
Five Easy Pieces,"Rafelson, Bob",2
"Day of the Locust, The","Schlesinger, John",81
Goldfinger,"Hamilton, Guy",77
"Exorcist II, The Heretic","Boorman, John",29
White Lightning,"Bernds, Edward",
Lady for a Night,"Leigh, Jason",12
Charly,"Nelson, Ralph",38
High Plains Drifter,"Eastwood, Clint",57
Honkytonk Man,"Eastwood, Clint",69
Nightbreed,"Barker, Clive",72
Under the Sun of Satan,"Pialat, Maurice",45
Vagabond,"Varda, Agnes",49
"Bill Cosby, Live at Harrah's",,13
Monty Python & the Holy Grail,"Gilliam, Terry",83
John Cleese on How to Irritate People,,62
"Matchmaker, The","Anthony, Joseph",67
For Your Eyes Only,"Glen, John",86
Wings,"Wellman, William",44
Medicine Man,"McTiernan, John",6
Good Fellas,"Scorsese, Martin",15
Kiss of the Spider Woman,"Babenco, Hector",10
"Rookie, THe","Eastwood, Clint",48
"Sting, The","Hill, George Roy",83
Torpedo Run,"Pevney, Joseph",50
Instant Justice,"Rumar, Craig",45
Cyrano de Bergerac,"Rappeneau, Jean-Paul",76
Border Street,"Ford, Aleksander",73
Firehouse,"Ingvordsen, J. Christian",66
Morituri,"Wicki, Bernhard",9
From the Life of the Marionettes,"Bergman, Ingmar",58
Frantic,"Polanski, Roman",17
Coma,"Crichton, Michael",64
Dead Ringers,"Cronenberg, David",29
Golden Ninja Invasion,"Lambert, Bruce",13
"Exorcist, The","Friedkin, William",28
Alice Doesn't Live Here Anymore,,82
"Eyes of the Amaryllis, The","King Keller, Frederick",70
What Price Glory?,"Ford, John",4
Inauguration of the Pleasure Dome,"Anger, Kenneth",62
School Daze,"Lee, Spike",18
"End of Innocence, The","Cannon, Dyan",6
"Anderson Tapes, The","Lumet, Sidney",1
"Father Murphy, A Horse from Heaven","Claxton, William F.",28
Skull,"Bergman, Robert",19
"Quick & The Dead, The","Day, Robert",40
Best Defense,"Huyck, Willard",75
Dreamscape,"Ruben, Joseph",63
Black Rain,"Scott, Ridley",73
8 1/2,"Fellini, Federico",80
One Frightened Night,"Cabanne, Christy",33
"Year My Voice Broke, The","Duigan, John",71
Is Paris Burning?,"Clément, René",63
QB VII,"Gries, Tom",28
"Island of Dr. Moreau, The","Taylor, Don",54
Beyond the Limit,"Mackenzie, John",51
Secret Agent,"Hitchcock, Alfred",50
Paramount Comedy Theater: Well-Developed,,40
"Big Bust Out, The","Theumer, Ernst R. von",50
"Fourth Protocol, The","Mackenzie, John",14
Gremlins 2: The New Batch,"Dante, Joe",61
Fast Times at Ridgemont High,"Heckerling, Amy",65
Mannequin,"Gottlieb, Michael",23
Rabid,"Cronenberg, David",34
"Party, The","Edwards, Blake",32
"Vampire Raiders, Ninja Queen","Lambert, Bruce",15
Bloopers from Star Trek,,22
Destroyer,"Seiter, William A.",87
Party Girl,"Ray, Nicholas",85
Twin Peaks,"Lynch, David",86
Moonstruck,"Jewison, Norman",6
"Witches of Eastwick, The","Miller, George",8
Moonraker,"Gilbert, Lewis",32
Beat Street,"Lathan, Stan",72
Running Out of Luck,,16
Never on Tuesday,"Rifkin, Adam",77
Shampoo,"Ashby, Hal",69
Power,"Lumet, Sidney",43
Darling,"Schlesinger, John",44
"Ugly American, The","Englund, George",63
Ambassador Bill,"Taylor, Sam",66
"Big Trail, The","Walsh, Raoul",22
Hombre,"Ritt, Martin",50
Coogan's Bluff,"Siegel, Don",57
Penn & Teller Get Killed,"Penn, Arthur",12
Shy People,"Konchalovsky, Andrei",7
It's My Turn,"Weill, Claudia",0
Dangerous Liaisons,"Frears, Stephen",77
Reversal of Fortune,"Schroeder, Barbet",73
Meeting Venus,"Szabó, István",74
Tomorrow Is Forever,,65
Like Father Like Son,"Daniel, Rod",20
Rope,"Hitchcock, Alfred",39
Road to Hong Kong,"Panama, Norman",37
Shirley Valentine,"Gilbert, Lewis",51
City of Joy,"Joffe, Roland",87
"Appaloosa, The","Furie, Sidney J.",15
Seven Minutes in Heaven,"Feferman, Linda",49
"Hearts of Darkness, A Filmmaker's Apocalypse","Bahr, Fax",72
